id,recording_id,user_id,stage_type,status,failed,failed_at,failed_reason,retry_count,stage_meta,completed_at,created_at,updated_at,skip_reason,started_at
10,11,01KFHA268GJEDP4Z5C8Z3CBEQD,TRANSCRIBE,COMPLETED,f,,,0,{"model": "fireworks", "language": "ru", "transcription_dir": "storage/users/user_000001/recordings/11/transcriptions"},2026-01-23 11:53:16.377132+03,2026-01-23 11:53:16.565557+03,2026-01-23 11:53:16.565561+03,,
11,11,01KFHA268GJEDP4Z5C8Z3CBEQD,EXTRACT_TOPICS,COMPLETED,f,,,0,{"model": "deepseek", "version_id": "v1", "granularity": "long"},2026-01-23 11:53:38.634856+03,2026-01-23 11:53:38.638763+03,2026-01-23 11:53:38.638766+03,,
12,13,01KFHA268GJEDP4Z5C8Z3CBEQD,TRANSCRIBE,COMPLETED,f,,,0,{"model": "fireworks", "language": "ru", "transcription_dir": "storage/users/user_000001/recordings/13/transcriptions"},2026-01-23 11:53:49.620646+03,2026-01-23 11:53:49.682737+03,2026-01-23 11:53:49.68274+03,,
13,11,01KFHA268GJEDP4Z5C8Z3CBEQD,GENERATE_SUBTITLES,COMPLETED,f,,,0,{"files": {"srt": "storage/users/user_000001/recordings/11/transcriptions/cache/subtitles.srt", "vtt": "storage/users/user_000001/recordings/11/transcriptions/cache/subtitles.vtt"}, "formats": ["srt", "vtt"]},2026-01-23 11:53:49.717202+03,2026-01-23 11:53:49.718784+03,2026-01-23 11:53:49.718785+03,,
14,4,01KFHA268GJEDP4Z5C8Z3CBEQD,TRANSCRIBE,COMPLETED,f,,,0,{"model": "fireworks", "language": "ru", "transcription_dir": "storage/users/user_000001/recordings/4/transcriptions"},2026-01-23 11:53:50.023726+03,2026-01-23 11:53:50.080243+03,2026-01-23 11:53:50.080246+03,,
15,9,01KFHA268GJEDP4Z5C8Z3CBEQD,TRANSCRIBE,COMPLETED,f,,,0,{"model": "fireworks", "language": "ru", "transcription_dir": "storage/users/user_000001/recordings/9/transcriptions"},2026-01-23 11:54:03.669277+03,2026-01-23 11:54:03.720059+03,2026-01-23 11:54:03.720063+03,,
16,13,01KFHA268GJEDP4Z5C8Z3CBEQD,EXTRACT_TOPICS,COMPLETED,f,,,0,{"model": "deepseek", "version_id": "v1", "granularity": "long"},2026-01-23 11:54:05.497784+03,2026-01-23 11:54:05.500567+03,2026-01-23 11:54:05.500568+03,,
17,6,01KFHA268GJEDP4Z5C8Z3CBEQD,TRANSCRIBE,COMPLETED,f,,,0,{"model": "fireworks", "language": "ru", "transcription_dir": "storage/users/user_000001/recordings/6/transcriptions"},2026-01-23 11:54:07.416129+03,2026-01-23 11:54:07.467816+03,2026-01-23 11:54:07.46782+03,,
18,4,01KFHA268GJEDP4Z5C8Z3CBEQD,EXTRACT_TOPICS,COMPLETED,f,,,0,{"model": "deepseek", "version_id": "v1", "granularity": "long"},2026-01-23 11:54:27.436846+03,2026-01-23 11:54:27.439069+03,2026-01-23 11:54:27.439071+03,,
19,13,01KFHA268GJEDP4Z5C8Z3CBEQD,GENERATE_SUBTITLES,COMPLETED,f,,,0,{"files": {"srt": "storage/users/user_000001/recordings/13/transcriptions/cache/subtitles.srt", "vtt": "storage/users/user_000001/recordings/13/transcriptions/cache/subtitles.vtt"}, "formats": ["srt", "vtt"]},2026-01-23 11:54:27.486988+03,2026-01-23 11:54:27.488402+03,2026-01-23 11:54:27.488403+03,,
20,9,01KFHA268GJEDP4Z5C8Z3CBEQD,EXTRACT_TOPICS,COMPLETED,f,,,0,{"model": "deepseek", "version_id": "v1", "granularity": "long"},2026-01-23 11:54:28.58973+03,2026-01-23 11:54:28.592223+03,2026-01-23 11:54:28.592226+03,,
21,4,01KFHA268GJEDP4Z5C8Z3CBEQD,GENERATE_SUBTITLES,COMPLETED,f,,,0,{"files": {"srt": "storage/users/user_000001/recordings/4/transcriptions/cache/subtitles.srt", "vtt": "storage/users/user_000001/recordings/4/transcriptions/cache/subtitles.vtt"}, "formats": ["srt", "vtt"]},2026-01-23 11:54:28.626702+03,2026-01-23 11:54:28.628413+03,2026-01-23 11:54:28.628414+03,,
53,65,01KFHA268GJEDP4Z5C8Z3CBEQD,EXTRACT_TOPICS,COMPLETED,f,,,0,{"model": "deepseek", "version_id": "v1", "granularity": "long"},2026-01-27 11:46:25.047476+03,2026-01-27 11:46:25.049584+03,2026-01-27 11:46:25.049586+03,,
